Qf_scale_list,kkt_cond_list_original,kkt_cond_list_ruiz,kkt_cond_list_qr,kkt_cond_list_hyper
1,16.5492493604455,10.1425406108382,3.00000000000001,10.704516061127
10,64.5308772338965,93.4534429628689,20.691119409538,10.7684929273021
100,913.103147989635,927.413415256239,200.669865724404,12.5984113672344
1000,9678.61209849808,9267.31316965935,2000.66601344859,12.9531913666066
10000,97380.4729771402,92666.368845662,20000.6484613201,12.9909549471417
100000,974404.106573661,926656.775319502,200000.475038541,12.9947554992517
1000000,9744640.94877126,9266559.6926092,1999998.74101939,12.9951357763187
